subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,59,intro,Der Direktor fragte nach.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,59,distr_anim,Der Prüfer fragte nach.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,59,subject,Der Junge fragte nach.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,59,distr_inan,Die Klassenarbeit fragte nach.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,89,subject,Die Köchin salzte nach.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,89,distr_inan,Das Suppenhuhn salzte nach.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,89,distr_anim,Die Chefin salzte nach.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,89,intro,Die Putzhilfe salzte nach.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,114,intro,Die Leserin schrieb.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,114,distr_anim,Die Lektorin schrieb.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,114,distr_inan,Die Lesung schrieb.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,114,subject,Die Autorin schrieb.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,102,intro,Der Prüfer rangierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,102,distr_anim,Der Fahrlehrer rangierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,102,distr_inan,Der Parkplatz rangierte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,102,subject,Die Fahrschülerin rangierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,16,intro,Die Ladeninhaberin plauderte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,16,subject,Der Friseur plauderte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,16,distr_inan,Die Schere plauderte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,16,distr_anim,Die Kundin plauderte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,79,distr_anim,Die Mentorin redete.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,79,distr_inan,Das Spiel redete.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,79,subject,Die Enkelin redete.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,79,intro,Der Großvater redete.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,77,distr_inan,Die Ehe prahlte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,77,intro,Der Gärtner prahlte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,77,distr_anim,Der Ehemann prahlte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,77,subject,Der Liebhaber prahlte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,57,distr_anim,Der Therapeut hielt durch.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,57,distr_inan,Die Klinik hielt durch.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,57,intro,Der Angehörige hielt durch.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,57,subject,Der Suchtkranke hielt durch.,7,27,weiblich,deutsch,nein,nein,master
